Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
STSA,Sterling Financial Corporation,27.14,1691225355,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/stsa
SHOO,"Steven Madden, Ltd.",55.59,2562664312,n/a,1993,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/shoo
SSFN,Stewardship Financial Corp,5.14,30528778.14,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssfn
STEI,"Stewart Enterprises, Inc.",13.145,1080161509,n/a,1991,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/stei
STCK,"Stock Building Supply Holdings, Inc.",13.66,356624775.5,n/a,n/a,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/stck
SSYS,"Stratasys, Ltd.",103.8,4484103948,n/a,1994,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/ssys
STRT,Strattec Security Corporation,37.91,126373212.5,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/strt
STRS,"Stratus Properties, Inc.",12.72,102477878.6,n/a,n/a,Consumer Services,Homebuilding,http://www.nasdaq.com/symbol/strs
STRA,"Strayer Education, Inc.",40.91,444710845.9,n/a,1996,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/stra
STRM,"Streamline Health Solutions, Inc.",7.15,93167746.1,n/a,1992,Technology,EDP Services,http://www.nasdaq.com/symbol/strm
STB,Student Transportation Inc,6.32,514184399.1,n/a,n/a,Transportation,Other Transportation,http://www.nasdaq.com/symbol/stb
SCMP,"Sucampo Pharmaceuticals, Inc.",5.79,245903407.6,n/a,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/scmp
SUBK,Suffolk Bancorp,17.8,205999649.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/subk
SUMR,"Summer Infant, Inc.",3.26,58568123.32,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/sumr
SMMF,"Summit Financial Group, Inc.",8.5,63269087,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/smmf
SSBI,Summit State Bank,10.01,47573385.86,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/ssbi
SNBC,"Sun Bancorp, Inc.",3.75,324340822.5,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/snbc
SNHY,Sun Hydraulics Corporation,33.69,884244551.3,n/a,1997,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/snhy
SNSS,"Sunesis Pharmaceuticals, Inc.",4.84,250200557.2,n/a,2005,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snss
STKL,"SunOpta, Inc.",9.73,645152116.1,n/a,1981,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/stkl
SPWR,SunPower Corporation,24.16,2929487967,n/a,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/spwr
SSH,Sunshine Heart Inc,10.95,135614545.5,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ssh
SMCI,"Super Micro Computer, Inc.",13.27,560519837,n/a,1996,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/smci
SCON,Superconductor Technologies Inc.,1.62,16966193.58,n/a,1993,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/scon
SGC,"Superior Uniform Group, Inc.",12,76112604,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/sgc
SUPN,"Supernus Pharmaceuticals, Inc.",6.72,207919017.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/supn
SPPR,"Supertel Hospitality, Inc.",5.4999,15915088.13,n/a,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sppr
SPPRO,"Supertel Hospitality, Inc.",25.3,8412250,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sppro
SPPRP,"Supertel Hospitality, Inc.",9.74,7823849.8,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/spprp
